  Batch 360/1316, Loss: 0.4731 
  Batch 370/1316, Loss: 0.4725 
  Batch 380/1316, Loss: 0.4720 
  Batch 390/1316, Loss: 0.4714 
  Batch 400/1316, Loss: 0.4709 
  Batch 410/1316, Loss: 0.4705 
  Batch 420/1316, Loss: 0.4700 
  Batch 430/1316, Loss: 0.4695 
  Batch 440/1316, Loss: 0.4687 
  Batch 450/1316, Loss: 0.4683 
  Batch 460/1316, Loss: 0.4679 
  Batch 470/1316, Loss: 0.4673 
  Batch 480/1316, Loss: 0.4667 
  Batch 490/1316, Loss: 0.4661 
  Batch 500/1316, Loss: 0.4658 
  Batch 510/1316, Loss: 0.4654 
  Batch 520/1316, Loss: 0.4648 
  Batch 530/1316, Loss: 0.4642 
  Batch 540/1316, Loss: 0.4639 
  Batch 550/1316, Loss: 0.4635 
  Batch 560/1316, Loss: 0.4627 
  Batch 570/1316, Loss: 0.4621 
  Batch 580/1316, Loss: 0.4616 
  Batch 590/1316, Loss: 0.4612 
  Batch 600/1316, Loss: 0.4604 
  Batch 610/1316, Loss: 0.4600 
  Batch 620/1316, Loss: 0.4595 
  Batch 630/1316, Loss: 0.4589 
  Batch 640/1316, Loss: 0.4580 
  Batch 650/1316, Loss: 0.4575 
  Batch 660/1316, Loss: 0.4569 
  Batch 670/1316, Loss: 0.4562 
  Batch 680/1316, Loss: 0.4554 
  Batch 690/1316, Loss: 0.4549 
  Batch 700/1316, Loss: 0.4542 
  Batch 710/1316, Loss: 0.4535 
  Batch 720/1316, Loss: 0.4530 
  Batch 730/1316, Loss: 0.4524 
  Batch 740/1316, Loss: 0.4519 
  Batch 750/1316, Loss: 0.4513 
  Batch 760/1316, Loss: 0.4508 
  Batch 770/1316, Loss: 0.4504 
  Batch 780/1316, Loss: 0.4497 
  Batch 790/1316, Loss: 0.4490 
  Batch 800/1316, Loss: 0.4483 
  Batch 810/1316, Loss: 0.4477 
  Batch 820/1316, Loss: 0.4471 
  Batch 830/1316, Loss: 0.4466 
  Batch 840/1316, Loss: 0.4459 
  Batch 850/1316, Loss: 0.4451 
  Batch 860/1316, Loss: 0.4444 
  Batch 870/1316, Loss: 0.4472 
   Batch 880/1316, Loss: 0.4525 
  Batch 890/1316, Loss: 0.4584 
  Batch 900/1316, Loss: 0.4646 
  Batch 910/1316, Loss: 0.4690 
  Batch 920/1316, Loss: 0.4730 
  Batch 930/1316, Loss: 0.4763 
  Batch 940/1316, Loss: 0.4785 
  Batch 950/1316, Loss: 0.4808 
  Batch 960/1316, Loss: 0.4823 
  Batch 970/1316, Loss: 0.4839 
  Batch 980/1316, Loss: 0.4851 
  Batch 990/1316, Loss: 0.4859 
  Batch 1000/1316, Loss: 0.4864 
  Batch 1010/1316, Loss: 0.4869 
  Batch 1020/1316, Loss: 0.4872 
  Batch 1030/1316, Loss: 0.4875 
  Batch 1040/1316, Loss: 0.4877 
  Batch 1050/1316, Loss: 0.4879 
  Batch 1060/1316, Loss: 0.4882 
  Batch 1070/1316, Loss: 0.4885 
  Batch 1080/1316, Loss: 0.4883 
  Batch 1090/1316, Loss: 0.4882 
  Batch 1100/1316, Loss: 0.4880 
  Batch 1110/1316, Loss: 0.4878 
  Batch 1120/1316, Loss: 0.4876 
  Batch 1130/1316, Loss: 0.4875 
  Batch 1140/1316, Loss: 0.4874 
  Batch 1150/1316, Loss: 0.4871 
  Batch 1160/1316, Loss: 0.4871 
  Batch 1170/1316, Loss: 0.4871 
  Batch 1180/1316, Loss: 0.4870 
  Batch 1190/1316, Loss: 0.4869 
  Batch 1200/1316, Loss: 0.4867 
  Batch 1210/1316, Loss: 0.4862 
  Batch 1220/1316, Loss: 0.4861 
  Batch 1230/1316, Loss: 0.4859 
  Batch 1240/1316, Loss: 0.4855 
  Batch 1250/1316, Loss: 0.4851 
  Batch 1260/1316, Loss: 0.4848 
  Batch 1270/1316, Loss: 0.4847 
  Batch 1280/1316, Loss: 0.4843 
  Batch 1290/1316, Loss: 0.4837 
  Batch 1300/1316, Loss: 0.4834 
  Batch 1310/1316, Loss: 0.4833 
  Training Loss: 0.4726 
  Validation Loss: 0.4723 
  Validation Accuracy: 0.8085 
Epoch 4/10 
  Batch 0/1316, Loss: 0.4622 
  Batch 10/1316, Loss: 0.4641 
